Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,split
2010-10-26,27.791296005249023,42.1999626159668,9.70267105102539,26.1314640045166,20.45954132080078,21.44573211669922,21.578052520751953,25.998849868774414,30.40178871154785,train
2010-10-27,27.535888671875,42.022884368896484,9.709331512451172,25.93813705444336,20.518627166748047,21.33371925354004,21.489622116088867,25.841079711914062,30.212482452392578,train
2010-10-28,27.551849365234375,41.93080139160156,9.709331512451172,25.88174819946289,20.518627166748047,21.408384323120117,21.544031143188477,25.990541458129883,30.350156784057617,train
2010-10-29,27.77533531188965,41.95913314819336,9.696013450622559,25.922025680541992,20.552391052246094,21.483060836791992,21.578052520751953,25.882596969604492,30.341550827026367,train
2010-11-01,27.75937271118164,42.00871276855469,9.696013450622559,25.922025680541992,20.569271087646484,21.39345932006836,21.367172241210938,25.882596969604492,30.281312942504883,train
2010-11-02,28.046688079833984,42.46909713745117,9.722648620605469,26.171733856201172,20.771848678588867,21.52039909362793,21.618867874145508,26.131710052490234,30.625530242919922,val
2010-11-03,27.96687889099121,42.561180114746094,9.815879821777344,26.212017059326172,20.890005111694336,21.587615966796875,21.578052520751953,26.148319244384766,30.780410766601562,train
2010-11-04,28.884742736816406,43.914024353027344,10.142186164855957,26.767841339111328,21.202299118041992,21.84895896911621,21.80935287475586,26.27286720275879,31.26229476928711,train
2010-11-05,28.98850440979004,44.13359451293945,10.375265121459961,26.928939819335938,21.185422897338867,21.73695182800293,21.802539825439453,26.115100860595703,31.41720199584961,train
2010-11-08,29.06034278869629,44.26814651489258,10.295353889465332,26.81616973876953,21.202299118041992,21.699609756469727,21.680095672607422,26.048669815063477,31.365562438964844,train
2010-11-09,28.549522399902344,44.18317413330078,10.102231979370117,26.57451057434082,21.143217086791992,21.587615966796875,21.60526466369629,25.940723419189453,31.081588745117188,train
2010-11-10,28.69318389892578,44.749794006347656,10.215444564819336,26.566452026367188,21.160099029541016,21.52039909362793,21.510028839111328,25.932416915893555,31.356950759887695,train
2010-11-11,28.98850440979004,45.24559020996094,10.115550994873047,26.413402557373047,20.839359283447266,21.54280662536621,21.496423721313477,26.007150650024414,31.313932418823242,train
2010-11-12,28.34200668334961,44.579811096191406,9.949065208435059,26.107303619384766,20.5439453125,21.438261032104492,21.31955337524414,25.683305740356445,30.9869327545166,train
2010-11-15,28.118526458740234,44.353153228759766,9.995683670043945,26.187854766845703,20.48486328125,21.44573211669922,21.394378662109375,25.691612243652344,30.92670440673828,train
2010-11-16,27.51194190979004,43.52446365356445,9.829197883605957,25.76897621154785,20.11349105834961,21.2067813873291,21.142681121826172,25.31794548034668,30.505048751831055,train
2010-11-17,27.503955841064453,43.7015266418457,9.76260757446289,25.785083770751953,20.12192726135254,21.214248657226562,21.135879516601562,25.359466552734375,30.771804809570312,train
2010-11-18,28.022750854492188,44.664791107177734,9.895792007446289,26.308687210083008,20.45954132080078,21.498003005981445,21.258323669433594,25.716520309448242,31.038564682006836,train
2010-11-19,28.246234893798828,45.04018783569336,9.895792007446289,26.389238357543945,20.518627166748047,21.5129337310791,21.176700592041016,25.741436004638672,31.184837341308594,train
2010-11-22,28.318058013916016,44.89855194091797,9.749287605285645,26.33285140991211,20.636791229248047,21.5129337310791,21.237924575805664,25.749736785888672,31.331144332885742,val
2010-11-23,27.77533531188965,44.020263671875,9.596120834350586,25.970361709594727,20.332944869995117,21.259048461914062,21.00662612915039,25.376073837280273,30.866458892822266,train
2010-11-24,28.31008529663086,44.81353759765625,9.74262523651123,26.558393478393555,20.670549392700195,21.42332649230957,21.135879516601562,25.616884231567383,31.50324821472168,train
2010-11-26,27.831193923950195,44.27523422241211,9.602781295776367,26.34090232849121,20.467987060546875,21.281448364257812,20.993026733398438,25.39267921447754,31.245084762573242,val
2010-11-29,28.070632934570312,44.57271957397461,9.682692527770996,26.33285140991211,20.417341232299805,21.24411964416504,20.952205657958984,25.367767333984375,31.176254272460938,train
2010-11-30,28.08660316467285,44.41690444946289,9.62942123413086,26.268400192260742,20.214773178100586,21.147048950195312,20.925003051757812,25.135265350341797,31.107406616210938,train
2010-12-01,28.852815628051758,45.73432540893555,9.822538375854492,26.945056915283203,20.645235061645508,21.490543365478516,21.16989517211914,25.616884231567383,31.770000457763672,train
2010-12-02,29.29180145263672,46.41427993774414,10.075592994689941,27.36393165588379,20.890005111694336,21.505470275878906,21.231111526489258,25.81616973876953,32.183048248291016,train
2010-12-03,29.539215087890625,46.61968994140625,10.108892440795898,27.420310974121094,20.940650939941406,21.5129337310791,21.278736114501953,25.81616973876953,32.20025634765625,train
2010-12-06,29.58710289001465,46.7755126953125,10.095573425292969,27.40420150756836,20.940650939941406,21.460664749145508,21.217514038085938,25.650094985961914,32.23468017578125,train
2010-12-07,29.62701988220215,46.59843444824219,10.108892440795898,27.476709365844727,20.965970993041992,21.580142974853516,21.074657440185547,25.666704177856445,32.25189971923828,train
2010-12-08,29.315744400024414,46.378875732421875,10.27537727355957,27.380041122436523,21.143217086791992,21.66227912902832,20.999828338623047,25.691612243652344,32.16582489013672,train
2010-12-09,29.47536849975586,46.48511505126953,10.40190315246582,27.460590362548828,21.160099029541016,21.722017288208008,21.088260650634766,25.733139038085938,32.208866119384766,train
2010-12-10,29.73076629638672,46.67634963989258,10.495131492614746,27.710302352905273,21.261388778686523,21.75935173034668,21.16989517211914,25.982248306274414,32.32073211669922,train
2010-12-13,29.890390396118164,47.072994232177734,10.488472938537598,27.726417541503906,21.21918487548828,21.75935173034668,21.271930694580078,26.023757934570312,32.16582489013672,val
2010-12-14,29.8664608001709,46.85342788696289,10.395245552062988,27.85530662536621,21.25293731689453,21.863893508911133,21.32635498046875,26.289472579956055,32.157222747802734,train
