Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,split
2/24/1999,-0.002911225,-0.004319864,-0.033378753,-0.002503049,-0.028146059,-0.005823962,0.009161878,-0.011874708,-0.01247898,train
2/25/1999,0,0.005037732,-0.006548674,-0.020253893,0.002672542,-0.011751463,-0.021692817,-0.009717017,-0.011481256,train
2/26/1999,0,-0.006481543,0.018229062,0.003192078,-0.030716069,0.002951063,0.006012406,0.00286788,0.00862298,train
3/1/1999,-0.011729804,-0.010167444,0.003863566,-0.000637764,-0.00459784,-0.004725383,-0.014822389,-0.00172005,0.000572437,train
3/2/1999,-0.008889665,-0.010271424,0.002567493,-0.008325222,-0.02709191,-0.002964819,-0.015046844,-0.000573944,0.002285839,train
3/3/1999,-0.006718551,0.021882678,-0.009662013,-0.005805115,0.016902143,0,0.000561156,-0.006334731,-0.005150117,train
3/4/1999,0.002991941,0.035440121,0.022401222,0.01921959,0.010189767,0.013565134,0.015590714,0.017750523,0.021005536,train
3/5/1999,0.033054964,0.018626733,0.025001437,0.021964401,0.022780386,0.015116772,0.016981685,0.022447721,0.029885823,train
3/8/1999,0.006480942,0.014252413,-0.006813283,0.005571658,0.028420846,0.004605568,-0.011472347,0.00110965,0.0043528,train
3/9/1999,-0.00865121,-0.01084009,0.008046919,0.004926408,-0.01056343,0.001148729,-0.002751024,-0.00779099,0.002710629,train
3/10/1999,0.01366441,0.055643617,0.018326908,-0.001844954,0,-0.010960598,-0.003311384,0.008898943,-0.002710629,train
3/11/1999,0.010657042,0.014075259,0.004830826,0.001229973,-0.00177153,0.009811869,0.007709501,0.006622157,0.010798795,train
3/12/1999,-0.004249499,-0.003819077,0.00180556,0.003068553,-0.008904891,0.00857935,0.010911584,-0.005515616,0.004287656,train
3/15/1999,0.002126971,-0.007682258,0.003002041,-0.002453572,0.015972119,0.008505449,0.002709211,0.003313038,0.002136698,train
3/16/1999,-0.004258045,-0.00515402,-0.014492988,-0.006780029,0.017020069,0.004507428,-0.003795541,-0.002207441,-0.005350716,train
3/17/1999,-0.002848731,0.025510526,-0.00855239,-0.001857177,-0.006511657,-0.01700754,-0.009276727,-0.005540249,-0.004300887,train
3/18/1999,0.02117206,0.012515879,0.023045378,0.002475282,0.013840551,0.01700754,0.014694131,0.013793353,0.017094509,train
3/19/1999,0.001260616,-0.010187531,-0.019167865,0.006194417,-0.024348963,-0.004438517,-0.018609398,-0.004392788,-0.013856391,train
3/22/1999,0.002794832,0.006285351,0.002447821,-0.007425799,0,-0.000565484,0.003318927,-0.002756033,-0.010810703,train
3/23/1999,-0.025442829,-0.017699519,-0.034829434,-0.023885769,-0.029479496,-0.028704423,-0.031980314,-0.027981744,-0.030907487,train
3/24/1999,0.000715565,-0.005114894,-0.002535209,-0.002547509,0.019304694,-0.000582522,0.013590188,0.004530171,-0.007878924,train
3/25/1999,0.003569876,0.002560916,0.022585792,0.010783412,0.023292774,0.007546804,-0.003380328,0.016807042,0.030052346,train
3/26/1999,-0.007870893,0.012706466,-0.008722627,0.002520564,-0.005226364,-0.003475783,-0.013064441,-0.007808562,-0.00660045,train
3/29/1999,0.01638771,0.027399154,0.022278638,0.016230324,0.036866201,0.012687148,-0.005159688,0.012243214,0.023991926,train
3/30/1999,-0.002122253,-0.018599209,-0.011696657,-0.000620114,-0.001684768,-0.008632397,-0.016222424,-0.003324144,0.001077225,train
3/31/1999,-0.014265457,-0.015132865,-0.011834137,-0.011214367,-0.012728308,-0.022210954,-0.002338898,-0.005565102,-0.015184307,train
4/1/1999,0.011428213,-0.001271635,0.002503039,0.010595112,0.015674776,0.001771783,0.020858488,0,-0.001093716,train
4/5/1999,0.012001934,0.023885463,0.019802774,0.021467091,0.03388772,0.005295516,0.007994808,0.022076227,0.01304372,train
4/6/1999,-0.017699751,-0.009987583,-0.007379981,-0.005476674,0.008497188,-0.011212824,-0.005132286,0.001091121,0.005385108,train
4/7/1999,0.010657314,-0.010088473,0.026797786,0.001828522,-0.002420144,-0.001187832,0.013064441,0.018903889,0.008556492,train
4/8/1999,0.014035133,0.010088473,0.017868164,0.005466475,0.009646075,0.022908356,0.026178231,0.0101148,0.022117353,train
4/9/1999,-0.004889502,0.018645393,-0.002363774,0.000605668,-0.00160158,0.002320663,-0.007172833,0.003172521,0.009331491,train
4/12/1999,0.028987376,0.007362145,0.017595398,0.023923968,-0.015341237,0.016662348,0.014293703,0.025027776,0.008221749,train
4/13/1999,0.012170692,-0.001222717,-0.001162949,0.007654454,-0.015580654,0.003412399,-0.016510431,-0.0103521,-0.005130502,train
4/14/1999,0.04725244,-0.012315819,-0.012888777,0.021468869,-0.025105439,-0.030558141,-0.014534075,-0.00940958,-0.022893665,train
4/15/1999,0.037740216,0.042456355,-0.00947833,0.025504399,0.008438506,-0.024897465,0.010084399,-0.025533445,-0.002107743,train
4/16/1999,0.011050228,0.030987544,-0.004773314,0.005579794,-0.027258893,0.004192214,0.011087172,-0.00974491,0.003159783,train
4/19/1999,0.010325224,0.012016903,0,0.008312551,-0.049568032,-0.042741318,0.009872935,-0.027580777,-0.022329696,train
4/20/1999,-0.012158654,-0.016054384,0.013071745,-0.006644159,0.025091284,0.018542285,0.010857939,0.018836892,0.012820489,train
4/21/1999,0.004272215,-0.015143174,0.015231624,0.003327446,0.026202628,0.031346492,0.017662056,0.022790293,0.016842661,train
4/22/1999,-0.015960459,0.017452072,0.010410833,0.000553701,0.045088448,0.012385846,-0.003187927,0.020181139,0.002606319,train
4/23/1999,0.014741749,-0.012768655,-0.003458159,0.007718297,0.002058128,-0.001759931,-0.000532704,0.022356244,0.010872552,train
4/26/1999,-0.009803833,-0.022445852,-0.015125288,-0.001099389,0.025173762,-0.007071283,-0.005338679,-0.001543756,-0.006198228,train
4/27/1999,0.019512848,0.031169308,0.01743228,0.004935763,-0.025173762,0.001182336,0.005871382,0.001029262,0.002587108,train
4/28/1999,0.051776009,0.03247218,-0.005776745,0.012503358,-0.013245209,-0.014877368,-0.00426687,-0.027113398,-0.003623795,train
4/29/1999,0.007426556,0.02982013,0.003469753,0.003775003,-0.010471098,-0.007824494,0.01432748,-0.011695647,-0.023086618,train
4/30/1999,-0.012024042,-0.01700982,-0.013953822,-0.011911297,-0.00803223,-0.013381598,-0.01325909,-0.007515342,-0.003189259,train
5/3/1999,0.022779727,0.024597935,0.011641833,0.019417551,0.00845284,0.023003285,0.014838615,0.019210989,0.024198528,train
5/4/1999,-0.006213024,0.001079092,-0.031748991,0.004264929,-0.015267774,-0.00841334,-0.008452208,-0.019210989,-0.011500062,train
5/5/1999,0.011828099,-0.014670035,0.005956007,0,0.020305049,0.009609088,0.007926024,0.008584213,-0.00844773,train
5/6/1999,0.008363543,-0.002740155,-0.016767025,0.002125469,-0.02544612,-0.013237037,-0.021277311,0.004264003,-0.022521194,train
5/7/1999,0.002218753,0.006018573,0.019139212,0.018927582,0.017036132,0.008443974,0.01228956,-0.003196454,0.022521194,train
5/10/1999,-0.005555467,-0.011522425,-0.00356022,-0.013634119,0.008409988,-0.015738479,-0.002658903,-0.002136419,-0.001061477,train
5/11/1999,-0.001672879,0.00330574,0.011820314,0.016754493,0.014963303,0.004261437,0.00372063,0.015915293,0.019969264,train
5/12/1999,-0.025432615,-0.018879034,0.014002938,-0.009914197,0.019608769,0.014475367,0.002649042,0.00942903,0.006223867,train
5/13/1999,-0.004014868,0.005032377,0.00922621,-0.01001357,-0.002835716,0.004779416,0.013141029,-0.006276249,-0.005183862,train
5/14/1999,-0.002877415,-0.007276549,-0.031489242,-0.012793197,-0.026723142,-0.018040266,-0.018977997,-0.017999203,-0.019947792,train
5/17/1999,-0.001153405,-0.003940687,-0.019139212,-0.0021483,0.014066937,0.006652099,0.02054302,-0.006431151,-0.020354681,train
5/18/1999,-0.024534221,-0.023396172,0.002412671,-0.012986641,0.008998208,-0.013349243,-0.02214134,-0.010810869,0.006472715,train
5/19/1999,0.010002986,0.013762193,0.007203282,0.015134941,0.003252063,0.013952388,0.020576316,0.011885845,-0.011898385,train
5/20/1999,-0.011778723,0.011324396,-0.013245874,0.002679121,-0.013072,0.00240656,-0.002091335,0.013336937,0.00866705,train
5/21/1999,-0.000592594,0.015643243,-0.002426672,-0.01184137,-0.011580277,-0.003009705,-0.009463844,-0.011191258,-0.006493386,train
5/24/1999,-0.004157779,-0.024125348,-0.022114054,-0.008700232,-0.021867678,-0.02626035,0.009987,-0.023862512,-0.021954789,train
5/25/1999,-0.009569347,-0.003982112,-0.02643333,-0.003282339,-0.02105384,-0.009950918,0.001045772,-0.009927663,-0.010038679,train
5/26/1999,-0.009661927,0.02810746,0.032008022,-0.007148844,0.020628467,0,0.005210077,0.001107953,0.011148432,train
5/27/1999,-0.023328293,-0.030390887,-0.024383927,-0.016694779,-0.007256866,-0.00501236,-0.017299946,-0.011136674,-0.020157718,train
5/28/1999,-0.020076056,0.010232911,0.015698598,0.01005062,0.012771252,0.014963277,0.00211343,0.007252424,0.014040956,train
6/1/1999,0.042189834,-0.005672319,-0.01443377,0.000555344,-0.022674495,0.003705561,-0.000528063,0.002776296,0.006116762,train
6/2/1999,-0.00121544,0.011312761,-0.006340797,0.013237659,0.01075973,-0.015532796,0,-0.003331994,-0.002219942,train
6/3/1999,0.003036691,0.003368732,-0.000636498,0.010357459,-0.006872869,0.009348915,-0.009549409,0.007756368,0.023064979,train
6/4/1999,0.018624539,0.015573294,0.018291305,0.010250596,0.029307269,0.034149218,0.014815417,0.023992084,0.00757143,train
6/7/1999,0.002971776,0.011522425,0.018576361,0.009615732,0.017839307,-0.008428969,0.008368215,-0.008657807,0.002690463,train
6/8/1999,-0.012541123,-0.015946917,-0.017951762,-0.009078967,-0.023295697,-0.014002678,0,-0.008185456,-0.015159905,train
6/9/1999,-0.009661927,0.002214693,-0.002501401,0.00107208,0.015037908,-0.00553369,0.007781406,0.00054794,-0.009867888,train
6/10/1999,0.016847359,0.005515539,-0.018964329,-0.011859441,-0.015037908,-0.018668839,-0.008302382,-0.008248378,-0.014428497,train
6/11/1999,-0.008989643,0.007671499,0.001912699,-0.00162845,-0.013559513,-0.010101114,-0.006797569,-0.011663746,-0.005044286,train
6/14/1999,0.023796279,0.00869558,-0.005108459,0.011879046,-0.004703843,0.003167444,0.027427338,0.005570832,0.001123104,train
6/15/1999,0.008779056,0.012369172,0.005108459,0.003215886,0.008961168,0.002527111,0.001020421,0.011049602,-0.006756812,train
6/16/1999,0.004071141,-0.01020704,0.025779622,0.013815236,0.040380148,0.007542602,0.009642692,0.019587014,0.026757742,train
6/17/1999,0.00347614,0.001079092,0.019060258,0.007884354,0.010955826,0.008107196,-0.00862331,0.004837977,-0.004962744,train
6/18/1999,0.002536042,0.001811104,0.001552102,0.007537013,0.008838752,-0.000374121,0.003565465,-0.004837977,0.007407439,train
6/21/1999,-0.024606171,-0.023542903,0.006078882,-0.013619762,0.024887638,-0.011293045,-0.007690442,-0.004860493,0.017429742,train
6/22/1999,-0.013134043,-0.010582044,-0.010968062,-0.004758231,-0.021294032,0.005662591,-0.003609306,-0.001625368,-0.00650081,train
6/23/1999,0.004796015,0.007808248,-0.00985319,0.003174957,0.007544139,-0.010722609,-0.00310429,0.002166418,-0.014230988,train
6/24/1999,-0.022989448,-0.016806895,-0.016219737,-0.010621429,-0.02078382,-0.003175175,-0.010940001,-0.018569484,-0.002207707,train
6/25/1999,0.006101513,-0.007941586,0.002512262,-0.00589062,0.001210262,-0.000636518,-0.005252675,0.001102221,-0.003320153,train
6/28/1999,0.018680475,-0.006283784,0.022946698,0.001609418,0.016403894,0.000636518,0.010476999,0.010952868,0.019215496,train
6/29/1999,-0.005987891,0.013659543,0.003061296,0.005347941,0.012618447,0.017655341,0.000521344,0.00975593,0.016716265,train
6/30/1999,-0.000600663,0.014590752,0.020569658,0.017446972,0.015167054,0.023472146,0.021128843,0.012862073,0.01906817,train
7/1/1999,0.009569198,0.007769252,0.01072038,0.000524014,0.01113009,0.007299241,-0.003576118,0.003189745,0.005233225,train
7/2/1999,0.020036243,0.003311355,0,0.00470343,0.01289374,0.003629585,0.000511872,0,0.005205898,train
7/6/1999,-0.004678511,0.018559149,0.008259603,0.001042104,-0.005668308,-0.000604037,-0.003073596,-0.002125695,0.008273064,train
7/7/1999,-0.005878941,-0.0027077,-0.003531617,-0.007318591,0.01167836,-0.00423863,0.009193202,0.006362774,-0.009311913,train
7/8/1999,-0.00710018,0.006486915,-0.00354365,0.003666181,0.013392969,-0.007919744,-0.008167711,-0.002116162,-0.008350869,train
7/9/1999,0.015905799,-0.000539601,0.001182521,0.001044731,0.010660238,0.004880584,0,0.004228299,0,train
7/12/1999,-0.006450129,0.01019054,-0.008308691,-0.008916302,0.001461611,-0.001827197,-0.004108563,0.002107508,-0.006309573,train
7/13/1999,-0.000587939,-0.009650939,-0.010784754,-0.003695111,-0.004390562,0.003651924,-0.004643229,-0.002107508,-0.007411066,train
7/14/1999,-0.005311577,0.001614732,0.00240652,0.005274122,0.012390427,-0.003042116,0.006185919,0.002107508,0.002123251,train
7/15/1999,-0.015503963,0.009103197,0.008974662,0.00681511,0.007217618,0.010909447,0.015298482,0.004725761,0.013168269,train
7/16/1999,0.008974018,-0.006416764,0.005345407,0.001566297,0.008949687,-0.001810231,0.011572472,0.000523483,0.005739398,train
7/19/1999,-0.009575465,-0.003762521,-0.007134158,0.001042552,-0.012191416,-0.008489903,-0.009550253,-0.004197242,-0.002082943,train
